date,station,lat,lng,alt,temperature,humidity,airpressure,direction,speed,AQI,PM2.5,PM10,SO2,NO2,O3,CO
2023/10/30 1:00,50853,46.62,126.97,179.6,10.7,46,990.7,167,1.9,275,225,277,17,41,60,1.25
2023/10/30 2:00,50853,46.62,126.97,179.6,10.8,55,990.5,201,5.2,350,300,351,13,48,56,1.5
2023/10/30 3:00,50853,46.62,126.97,179.6,10.5,62,990.5,201,3,377,327,370,10,48,53,1.65
2023/10/30 4:00,50853,46.62,126.97,179.6,10.3,70,990.7,215,4.1,355,305,334,6,40,54,1.55
2023/10/30 5:00,50853,46.62,126.97,179.6,8.9,77,991.3,215,1.2,255,205,221,5,28,59,1.2
2023/10/30 6:00,50853,46.62,126.97,179.6,7.7,82,991.6,261,1.7,211,161,177,5,30,50,1.05
2023/10/30 7:00,50853,46.62,126.97,179.6,6.3,87,992.5,218,2,202,152,173,6,41,35,1.05
2023/10/30 8:00,50853,46.62,126.97,179.6,5.9,81,993.4,360,2.5,205,155,188,6,41,33,1.15
2023/10/30 9:00,50853,46.62,126.97,179.6,6.5,66,994.3,289,2.8,193,145,192,6,34,44,1.05
2023/10/30 10:00,50853,46.62,126.97,179.6,8.4,54,995,272,3.8,170,129,179,6,31,58,0.95
2023/10/30 11:00,50853,46.62,126.97,179.6,10.5,43,995.2,312,3,174,132,181,6,29,85,0.75
2023/10/30 12:00,50853,46.62,126.97,179.6,11.3,37,995.5,312,5.8,138,105,146,5,24,97,0.7
2023/10/30 13:00,50853,46.62,126.97,179.6,10.8,38,996.1,235,5.4,202,152,205,5,26,106,0.75
2023/10/30 14:00,50853,46.62,126.97,179.6,10.6,38,996.9,317,5,135,103,139,5,24,99,0.65
2023/10/30 15:00,50853,46.62,126.97,179.6,9.7,37,997.6,303,3.9,74,54,76,4,20,84,0.55
2023/10/30 16:00,50853,46.62,126.97,179.6,8.7,36,998.4,289,3.1,29,17,29,3,19,66,0.4
2023/10/30 17:00,50853,46.62,126.97,179.6,6.9,38,999.2,281,3.6,25,13,25,3,22,53,0.4
2023/10/30 18:00,50853,46.62,126.97,179.6,5.5,37,999.8,289,2.4,26,14,26,3,23,47,0.45
2023/10/30 19:00,50853,46.62,126.97,179.6,4.6,37,999.9,320,2.4,33,19,33,3,24,46,0.45
2023/10/30 20:00,50853,46.62,126.97,179.6,2.8,41,1000.2,272,1.9,22,11,22,3,21,45,0.4
2023/10/30 21:00,50853,46.62,126.97,179.6,3,36,1000.4,269,1.8,22,11,22,3,22,45,0.4
2023/10/30 22:00,50853,46.62,126.97,179.6,3.1,35,999.8,320,1.7,18,8,18,3,18,49,0.35
